DATE,USD3MTD156N
12/24/2019,1.9605
12/27/2019,1.94463
12/30/2019,1.90938
12/31/2019,1.90838
1/2/2020,1.90025
1/3/2020,1.87388
1/6/2020,1.87225
1/7/2020,1.878
1/8/2020,1.834
1/9/2020,1.84788
1/10/2020,1.83775
1/13/2020,1.83125
1/14/2020,1.84263
1/15/2020,1.83613
1/16/2020,1.82663
1/17/2020,1.81913
1/20/2020,1.80213
1/21/2020,1.80625
1/22/2020,1.80088
1/23/2020,1.79413
1/24/2020,1.79538
1/27/2020,1.7745
1/28/2020,1.7695
1/29/2020,1.77713
1/30/2020,1.76325
1/31/2020,1.75113
2/3/2020,1.741
2/4/2020,1.73738
2/5/2020,1.74163
2/6/2020,1.73413
2/7/2020,1.73088
2/10/2020,1.71313
2/11/2020,1.70725
2/12/2020,1.70375
2/13/2020,1.69163
2/14/2020,1.69175
2/17/2020,1.69288
2/18/2020,1.69463
2/19/2020,1.696
2/20/2020,1.68275
2/21/2020,1.67925
2/24/2020,1.64663
2/25/2020,1.63763
2/26/2020,1.61325
2/27/2020,1.58038
2/28/2020,1.46275
3/2/2020,1.25375
3/3/2020,1.31425
3/4/2020,1.00063
3/5/2020,0.99888
3/6/2020,0.896
3/9/2020,0.76813
3/10/2020,0.78413
3/11/2020,0.7725
3/12/2020,0.7405
3/13/2020,0.84313
3/16/2020,0.88938
3/17/2020,1.05188
3/18/2020,1.11575
3/19/2020,1.19513
3/20/2020,1.20413
3/23/2020,1.21563
3/24/2020,1.23238
3/25/2020,1.267
3/26/2020,1.37463
3/27/2020,1.45013
3/30/2020,1.43338
3/31/2020,1.4505
4/1/2020,1.4365
4/2/2020,1.373
4/3/2020,1.38738
4/6/2020,1.35238
4/7/2020,1.31988
4/8/2020,1.31138
4/9/2020,1.21888
4/14/2020,1.17613
4/15/2020,1.13488
4/16/2020,1.13525
4/17/2020,1.109
4/20/2020,1.09763
4/21/2020,1.043
4/22/2020,1.02025
4/23/2020,0.99138
4/24/2020,0.88713
4/27/2020,0.84075
4/28/2020,0.76013
4/29/2020,0.68663
4/30/2020,0.55613
5/1/2020,0.54088
5/4/2020,0.50088
5/5/2020,0.474
5/6/2020,0.44763
5/7/2020,0.43463
5/11/2020,0.4335
5/12/2020,0.424
5/13/2020,0.39238
5/14/2020,0.38563
5/15/2020,0.3805
5/18/2020,0.37663
5/19/2020,0.37413
5/20/2020,0.358
5/21/2020,0.3595
5/22/2020,0.36925
5/26/2020,0.37125
5/27/2020,0.3625
5/28/2020,0.35
5/29/2020,0.344
6/1/2020,0.33713
6/2/2020,0.3305
6/3/2020,0.32663
6/4/2020,0.31763
6/5/2020,0.31288
6/8/2020,0.30975
6/9/2020,0.31463
6/10/2020,0.31838
6/11/2020,0.31338
6/12/2020,0.32088
6/15/2020,0.299
6/16/2020,0.30788
6/17/2020,0.31625
6/18/2020,0.30638
6/19/2020,0.30513
6/22/2020,0.29663
6/23/2020,0.29688
6/24/2020,0.28375
6/25/2020,0.306
6/26/2020,0.30788
6/29/2020,0.29613
6/30/2020,0.302
7/1/2020,0.2985
7/2/2020,0.30375
7/3/2020,0.27588
7/6/2020,0.2765
7/7/2020,0.26838
7/8/2020,0.27288
7/9/2020,0.26625
7/10/2020,0.26813
7/13/2020,0.275
7/14/2020,0.27088
7/15/2020,0.27288
7/16/2020,0.27175
7/17/2020,0.27138
7/20/2020,0.25775
7/21/2020,0.2555
7/22/2020,0.2635
7/23/2020,0.2445
7/24/2020,0.24675
7/27/2020,0.26963
7/28/2020,0.26825
7/29/2020,0.26063
7/30/2020,0.251
7/31/2020,0.24875
8/3/2020,0.249
8/4/2020,0.2485
8/5/2020,0.242
8/6/2020,0.24325
8/7/2020,0.2525
8/10/2020,0.25688
8/11/2020,0.2535
8/12/2020,0.26475
8/13/2020,0.28013
8/14/2020,0.27038
8/17/2020,0.26775
8/18/2020,0.253
8/19/2020,0.24688
8/20/2020,0.25613
8/21/2020,0.25
8/24/2020,0.23375
8/25/2020,0.251
8/26/2020,0.25588
8/27/2020,0.246
8/28/2020,0.24088
9/1/2020,0.25113
9/2/2020,0.25125
9/3/2020,0.2495
9/4/2020,0.248
9/7/2020,0.24175
9/8/2020,0.2495
9/9/2020,0.25025
